;submission_id;user_id;location_name;submission_timestamp;questions_134999_where_are_you_eating_at_the_moment;questions_135005_who_are_you_with;questions_134999_where_are_you_eating_at_the_moment;questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today;questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded;questions_135022_who_prepared_the_food;level2dish_coded;questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded;questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded;questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
546;1412;3185454030;South Africa;03/05/2019 16:17;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Other""]";It was premade / ready to eat;"[""Plain nuts"", ""Chocolate sweets/ snacks""]";"[""Other""]";"[""Nothing""]";Breakfast
547;1415;1498685952;South Africa;04/02/2019 19:24;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";I prepared it myself from scratch;"[""Sandwich/ bagel""]";"[""It's light / not filling""]";"[""Eggs"", ""Dairy""]";Dinner
548;1421;4315218301;South Africa;12/05/2019 10:16;At my home;"[""My spouse/partner"", ""My children""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Beans"", ""Seafood""]";"[""It's a healthy choice""]";"[""Nothing""]";Lunch
549;1422;1430728290;South Africa;03/02/2019 13:17;At my home;"[""Friends""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Savoury pastry"", ""Vegetable curry""]";"[""I was hungry"", ""I was hungry""]";"[""Savoury snacks""]";Snack
550;1424;3338629796;South Africa;21/02/2019 19:15;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Playing games""]";I prepared it myself from scratch;"[""Cheese pizza""]";"[""I like the taste""]";"[""Nothing""]";Dinner
551;1427;1057899384;South Africa;03/04/2019 17:42;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Cooking""]";It was premade / ready to eat;"[""Biscuits""]";"[""I like the taste""]";"[""Nothing""]";Treat
552;1428;0;South Africa;18/07/2019 21:00;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Beans"", ""Burger"", ""Hard cheese"", ""Other potatoes/ sweet potatoes""]";"[""Easy to prepare"", ""Leftovers / to eat it up before it spoils""]";"[""Nothing""]";Dinner
553;1431;5590880100;South Africa;26/06/2019 20:08;At someone else's home;"[""My spouse/partner""]";At someone else's home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Potato crisps""]";"[""I wanted a snack""]";"[""Confectionery""]";Snack
554;1433;3520769021;South Africa;07/04/2019 00:48;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Spending time with family"", ""Talking to someone""]";It was premade / ready to eat;"[""Cereal""]";"[""I like the taste"", ""It's light / not filling""]";"[""Nothing""]";Snack
555;1435;5714937424;South Africa;23/05/2019 19:54;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";It was premade / ready to eat;"[""Biscuits""]";"[""I was hungry""]";"[""Fruit""]";Treat
556;1445;3233134310;South Africa;07/02/2019 07:11;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";I prepared it myself from scratch;"[""Cereal""]";"[""It's my habit / routine""]";"[""Nothing""]";Breakfast
557;1446;6406650209;South Africa;03/07/2019 18:00;At school / work;"[""Colleagues""]";At school / work;;"[""Browsing social media""]";Someone else prepared it;"[""Plain noodles""]";"[""I like the taste""]";"[""Nothing""]";Lunch
558;1447;7215062756;South Africa;13/08/2019 11:00;At school / work;"[""Colleagues""]";At school / work;;"[""Browsing the internet""]";I prepared it together with friends / family;"[""Other meat""]";"[""Someone prepared it for me""]";"[""Meat""]";Dinner
559;1449;587067894;South Africa;06/02/2019 17:01;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Nothing""]";It was premade / ready to eat;"[""Bread/ roll/ baguette""]";"[""I like the taste""]";"[""Nothing""]";Breakfast
560;1450;3654563309;South Africa;16/07/2019 15:20;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Plain yoghurt (sweet)"", ""Tropical and exotic fruit"", ""Citrus fruit""]";"[""It's a healthy choice""]";"[""Nothing""]";Snack
561;1454;2855551650;South Africa;26/06/2019 13:48;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Playing with pets""]";It was premade / ready to eat;"[""Chocolate sweets/ snacks""]";"[""Energy boost"", ""Cheap""]";"[""Sweet pastry / baked goods"", ""Sweet pastry / baked goods""]";Snack
562;1459;492461502;South Africa;17/01/2019 10:52;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing the internet""]";I prepared it myself using a meal starter;"[""Bread with sweet spread""]";"[""Cheap""]";"[""Nothing""]";Breakfast
563;1461;7342840360;South Africa;19/07/2019 07:27;At school / work;"[""Alone""]";At school / work;Kiosk / Stall;"[""Browsing social media""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""I wanted something sweet""]";"[""Potatoes""]";Snack
564;1464;5752203182;South Africa;24/05/2019 05:03;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Savoury biscuits""]";"[""It's my habit / routine""]";"[""Cereals / porridge""]";Breakfast
565;1465;3432720636;South Africa;21/05/2019 17:45;At my home;"[""Alone""]";At my home;;"[""Playing games""]";I prepared it myself from scratch;"[""Hard cheese""]";"[""It was all I had""]";"[""Other Dishes""]";Dinner
566;1466;9988470;South Africa;23/08/2019 14:54;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I ordered take out from a restaurant / cafe;"[""Cake""]";"[""I like the taste""]";"[""Nothing""]";Snack
567;1468;5909387800;South Africa;20/07/2019 05:59;At my home;"[""Alone""]";At my home;;"[""Browsing social media""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette""]";"[""I wanted a snack""]";"[""Potatoes""]";Snack
568;1469;1223457984;South Africa;01/05/2019 15:57;At my home;"[""Other family members""]";At my home;;"[""Watching TV""]";Someone else prepared it;"[""Chicken"", ""Green salad "", ""Plain rice"", ""Beans""]";"[""It's a healthy choice""]";"[""Nothing""]";Lunch
569;1472;3180593688;South Africa;04/03/2019 16:40;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Listening to music""]";It was premade / ready to eat;"[""Savoury snacks""]";"[""Cheap"", ""I like the taste""]";"[""Savoury snacks""]";Treat
570;1473;992983992;South Africa;31/01/2019 16:15;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing the internet""]";It was premade / ready to eat;"[""Nut bar""]";"[""I was hungry""]";"[""Sweet pastry / baked goods""]";Snack
571;1475;3384414488;South Africa;28/01/2019 14:01;At my home;"[""Friends""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice"", ""Lentils""]";"[""It's a healthy choice""]";"[""Rice / pasta / grains / pulses""]";Dinner
572;1476;2895255180;South Africa;21/02/2019 07:55;At my home;"[""My spouse/partner"", ""My children"", ""Other family members""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";I prepared it myself from scratch;"[""Soft cheese/ cheese spread"", ""Bread/ roll/ baguette""]";"[""Easy to prepare""]";"[""Nothing""]";Breakfast
573;1480;1294647353;South Africa;04/02/2019 07:19;Cafe / restaurant / bar / hotel;"[""Alone""]";Cafe / restaurant / bar / hotel;;"[""Nothing""]";;"[""Sandwich/ bagel""]";"[""I was hungry""]";"[""Potatoes""]";Breakfast
574;1481;2.41E+12;South Africa;04/08/2019 10:18;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";Leftovers;"[""Cake""]";"[""I wanted something sweet""]";"[""Sweet pastry / baked goods""]";Treat
575;1482;0;South Africa;10/07/2019 11:54;At my home;"[""My spouse/partner""]";At my home;;"[""Personal caring""]";I prepared it myself from scratch;"[""Mixed salad"", ""Other egg based dishes""]";"[""It's a healthy choice""]";"[""Nothing""]";Lunch
576;1484;3312059854;South Africa;25/03/2019 16:08;At school / work;"[""Alone""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Listening to radio""]";I prepared it myself using a meal kit;"[""Savoury pastry""]";"[""I like the taste""]";"[""Nothing""]";Snack
577;1488;5947266744;South Africa;05/06/2019 03:02;At my home;"[""My children""]";At my home;;"[""Spending time with family""]";I prepared it together with friends / family;"[""Chicken""]";"[""It's my habit / routine""]";"[""Rice / pasta / grains / pulses""]";Breakfast
578;1492;1230126690;South Africa;31/01/2019 17:39;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Cooking"", ""Watching TV""]";I prepared it myself from scratch;"[""White fish"", ""Beans""]";"[""Leftovers / to eat it up before it spoils""]";"[""Dairy""]";Dinner
579;1496;3440512316;South Africa;28/01/2019 05:49;At my home;"[""Other family members""]";At my home;Cafe / restaurant;"[""Listening to music""]";;"[""Savoury snacks""]";"[""I like the taste""]";"[""Hot tea""]";Breakfast
580;1498;26088992232;South Africa;21/02/2019 06:58;At someone else's home;"[""Other family members""]";At someone else's home;I had it at home / brought it from home;"[""Cooking""]";Someone else prepared it;"[""Plain rice"", ""Vegetable curry""]";"[""It's my habit / routine""]";"[""Nothing""]";Lunch
581;1500;6803937182;South Africa;29/06/2019 23:45;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Other fruit""]";"[""It's a healthy choice""]";"[""Nothing""]";Snack
582;1504;3338656758;South Africa;09/02/2019 08:28;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette"", ""Sweet spreads/ jams/ syrups""]";"[""Quick"", ""I like the taste""]";"[""Cereals / porridge""]";Breakfast
583;1505;5171979218;South Africa;06/06/2019 02:53;On the go / outdoors;"[""Colleagues""]";On the go / outdoors;;"[""Working / studying""]";I prepared it myself from scratch;"[""Seafood""]";"[""Convenient"", ""Cheap""]";"[""Fish / seafood""]";Breakfast
584;1506;1308803551;South Africa;01/02/2019 06:26;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";I prepared it myself from scratch;"[""Burger"", ""Potato crisps"", ""Salad vegetables""]";"[""Quick""]";"[""Nothing""]";Dinner
585;1507;2959679448;South Africa;17/07/2019 13:11;At my home;"[""My spouse/partner""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice"", ""Plain yoghurt (sweet)"", ""Mixed salad""]";"[""I was hungry""]";"[""Nothing""]";Lunch
586;1510;2.38E+12;South Africa;01/08/2019 17:42;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it together with friends / family;"[""Bread/ roll/ baguette"", ""Vegetable curry""]";"[""I was hungry"", ""It's a healthy choice""]";"[""Rice / pasta / grains / pulses"", ""Rice / pasta / grains / pulses""]";Dinner
587;1515;0;South Africa;29/04/2019 23:09;At my home;"[""My spouse/partner"", ""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Savoury snacks""]";"[""I like the taste"", ""I wanted a snack""]";"[""Nothing""]";Snack
588;1519;1354942434;South Africa;27/01/2019 13:54;At my home;"[""My spouse/partner"", ""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Mixed salad"", ""Condiment/ sauce""]";"[""It's a healthy choice""]";"[""Pizza""]";Lunch
589;1520;833015622;South Africa;20/02/2019 19:39;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Savoury snacks"", ""Bread/ roll/ baguette""]";"[""I wanted a snack""]";"[""Coffee""]";Snack
590;1521;4199544751;South Africa;01/08/2019 22:53;At school / work;"[""Alone""]";At school / work;Kiosk / Stall;"[""Relaxing / laying down""]";It was premade / ready to eat;"[""Sweet breads / buns""]";"[""Cheap"", ""Convenient""]";"[""Rice / pasta / grains / pulses""]";Dinner
591;1523;1023581236;South Africa;27/06/2019 16:14;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Candy""]";"[""I like the taste"", ""I wanted a snack"", ""Quick""]";"[""Nothing""]";Snack
592;1524;3389542400;South Africa;04/02/2019 13:26;At school / work;"[""Alone""]";At school / work;Deli / Sandwich Store / Bakery;"[""Browsing social media""]";;"[""Savoury pastry""]";"[""It's what I wanted""]";"[""Meat""]";Lunch
593;1525;3350254446;South Africa;04/02/2019 06:04;On the go / outdoors;"[""Alone""]";On the go / outdoors;Supermarket / Hypermarket / Grocery Store ;"[""Relaxing / laying down""]";It was premade / ready to eat;"[""Potato crisps""]";"[""Convenient""]";"[""Savoury snacks""]";Snack
594;1529;3211075955;South Africa;09/01/2019 03:35;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";Someone else prepared it;"[""Savoury pastry""]";"[""I like the taste"", ""It's my habit / routine""]";"[""Rice / pasta / grains / pulses""]";Breakfast
595;1535;2285332380;South Africa;24/07/2019 01:21;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Tropical and exotic fruit""]";"[""It's a healthy choice""]";"[""Nothing""]";Breakfast
596;1536;1244276256;South Africa;31/01/2019 18:27;At my home;"[""My spouse/partner""]";At my home;Cafe / restaurant;"[""Spending time with friends""]";;"[""Meat-based pizza"", ""Hard cheese""]";"[""Cheap""]";"[""Nothing""]";Lunch
597;1539;1354942434;South Africa;21/05/2019 17:35;At my home;"[""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Spending time with family""]";It was premade / ready to eat;"[""Chocolate bar""]";"[""Easy to prepare""]";"[""Savoury snacks""]";Snack
598;1546;0;South Africa;24/05/2019 19:08;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""It's what I wanted"", ""It was all I had""]";"[""Nothing""]";Treat
599;1547;1128025788;South Africa;26/03/2019 17:42;At my home;"[""My spouse/partner"", ""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""White fish"", ""Salad vegetables"", ""Salad vegetables""]";"[""I had a craving""]";"[""Nothing""]";Dinner
600;1549;3689187765;South Africa;15/02/2019 20:56;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Playing games""]";It was premade / ready to eat;"[""Savoury biscuits""]";"[""It's a healthy choice"", ""Personal dietary requirement""]";"[""Cereals / porridge""]";Snack
601;1550;547190424;South Africa;24/01/2019 19:26;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";I prepared it myself from scratch;"[""Vegetable soup"", ""Savoury snacks""]";"[""It's a healthy choice"", ""Convenient""]";"[""Savoury snacks"", ""Savoury snacks""]";Treat
602;1551;0;South Africa;08/06/2019 11:52;At my home;"[""Alone""]";At my home;Kiosk / Stall;"[""Browsing social media""]";It was premade / ready to eat;"[""Tofu"", ""Pasta with sauce""]";"[""Kids/ family like it""]";"[""Rice / pasta / grains / pulses""]";Dinner
603;1553;642194670;South Africa;05/02/2019 18:21;At my home;"[""My spouse/partner"", ""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Cereal/ muesli bar""]";"[""I wanted a snack""]";"[""Nothing""]";Treat
604;1556;26483358000;South Africa;22/02/2019 09:03;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";I prepared it myself from scratch;"[""Condiment/ sauce"", ""Vegetable curry""]";"[""It's my favourite""]";"[""Meat"", ""Meat""]";Lunch
605;1560;3326101641;South Africa;15/02/2019 19:19;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""It's a healthy choice""]";"[""Cereals / porridge"", ""Dairy""]";Snack
606;1561;1124667748;South Africa;22/05/2019 07:28;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Savoury biscuits""]";"[""It's a healthy choice"", ""I like the taste""]";"[""Breads""]";Snack
607;1562;3345317973;South Africa;28/04/2019 07:48;At my home;"[""Other family members""]";At my home;;"[""Nothing""]";Someone else prepared it;"[""Savoury pastry"", ""Soft cheese/ cheese spread"", ""Hard cheese"", ""Salad vegetables"", ""Bread/ roll/ baguette""]";"[""It's what I wanted""]";"[""Nothing""]";Breakfast
608;1564;5304539472;South Africa;04/06/2019 17:10;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV"", ""Browsing social media""]";It was premade / ready to eat;"[""Citrus fruit""]";"[""It's light / not filling"", ""It's refreshing""]";"[""Nothing""]";Other
609;1566;5348753760;South Africa;01/05/2019 17:36;At my home;"[""Alone""]";At my home;;"[""Watching TV"", ""Relaxing / laying down""]";I prepared it myself using a meal starter;"[""Bread/ roll/ baguette"", ""Crackers/ wafers""]";"[""I was hungry"", ""I like the taste"", ""It's a healthy choice""]";"[""Milk / flavoured milk / milk alternatives"", ""Sandwich / bagel / wrap""]";Snack
610;1568;1382112000;South Africa;24/01/2019 19:46;Cafe / restaurant / bar / hotel;"[""Other family members""]";Cafe / restaurant / bar / hotel;;"[""Relaxing / laying down""]";;"[""Other fruit"", ""Other fruit"", ""Tropical and exotic fruit"", ""Berries / cherries / grapes"", ""Sweet spreads/ jams/ syrups""]";"[""I wanted something sweet""]";"[""Ice cream""]";Snack
611;1571;0;South Africa;17/05/2019 09:52;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Talking to someone"", ""Listening to music"", ""On my phone""]";It was premade / ready to eat;"[""Chocolate sweets/ snacks""]";"[""I wanted to try something new"", ""It's light / not filling"", ""Quick""]";"[""Nothing""]";Treat
612;1574;5329088308;South Africa;09/06/2019 13:11;At my home;"[""Alone""]";At my home;Food Truck / Street Market ;"[""Browsing social media""]";It was premade / ready to eat;"[""Vegetable crisps""]";"[""Preferred choice unavailable""]";"[""Nothing""]";Snack
613;1576;1022039856;South Africa;08/07/2019 13:29;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Pasta with sauce""]";"[""Quick""]";"[""Meat"", ""Potatoes""]";Lunch
614;1577;2751209618;South Africa;13/02/2019 10:39;At my home;"[""My spouse/partner""]";At my home;I had it at home / brought it from home;"[""Nothing""]";I prepared it myself from scratch;"[""Fruit flavoured yoghurt""]";"[""It's refreshing""]";"[""Cereals / porridge""]";Breakfast
615;1578;1200916180;South Africa;05/04/2019 17:04;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Other fruit""]";"[""It's refreshing""]";"[""Fruit""]";Treat
616;1579;8344518780;South Africa;22/08/2019 08:06;At my home;"[""Alone""]";At my home;;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette""]";"[""It's what I wanted""]";"[""Cereals / porridge""]";Breakfast
617;1585;4199527832;South Africa;03/07/2019 22:26;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""It's light / not filling""]";"[""Biscuits / cookies"", ""Milk / flavoured milk / milk alternatives""]";Other
618;1586;1556726119;South Africa;01/02/2019 20:04;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Talking to someone""]";Someone else prepared it;"[""Sandwich/ bagel"", ""Seafood"", ""Olives""]";"[""It's my favourite""]";"[""Curry / stew / soup""]";Dinner
619;1587;556524808;South Africa;28/04/2019 06:08;At my home;"[""My spouse/partner""]";At my home;;"[""Getting ready""]";I made it myself with some ready made ingredients;"[""Plain yoghurt (sweet)"", ""Muesli/ granola"", ""Seeds""]";"[""It's my favourite""]";"[""Cereals / porridge""]";Breakfast
620;1591;674692872;South Africa;27/03/2019 22:37;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";I prepared it myself from scratch;"[""Savoury biscuits""]";"[""Quick"", ""I wanted something sweet""]";"[""Nothing""]";Snack
621;1601;1431058410;South Africa;01/05/2019 11:49;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Biscuits""]";"[""It was all I had""]";"[""Dairy""]";Breakfast
622;1602;596878380;South Africa;27/04/2019 05:21;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Sandwich/ bagel""]";"[""It's what I wanted""]";"[""Nothing""]";Breakfast
623;1607;6179680591;South Africa;23/08/2019 14:15;At my home;"[""Alone""]";At my home;;"[""Browsing social media""]";I prepared it myself from scratch;"[""Instant noodles""]";"[""Easy to prepare"", ""Convenient""]";"[""Cereals / porridge""]";Dinner
624;1609;7400266546;South Africa;21/07/2019 21:05;On the go / outdoors;"[""Friends""]";On the go / outdoors;;"[""Watching TV""]";I prepared it together with friends / family;"[""Egg-based dish""]";"[""I like the taste""]";"[""Nothing""]";Breakfast
625;1612;5553510144;South Africa;08/06/2019 15:21;At my home;"[""Other family members""]";At my home;;"[""Spending time with family""]";Someone else prepared it;"[""Chicken""]";"[""Easy to prepare"", ""It's a healthy choice""]";"[""Nothing""]";Dinner
626;1614;5894571090;South Africa;24/05/2019 18:59;At my home;"[""My spouse/partner""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Egg-based dish""]";"[""Other""]";"[""Nothing""]";Dinner
627;1615;7928341096;South Africa;23/08/2019 16:47;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain pasta""]";"[""I like the taste"", ""It's light / not filling"", ""Easy to prepare""]";"[""Rice / pasta / grains / pulses""]";Treat
628;1616;3676682436;South Africa;29/04/2019 14:11;At my home;"[""Alone""]";At my home;;"[""Nothing""]";Someone else prepared it;"[""Dumplings"", ""Chutney""]";"[""It's my favourite""]";"[""Nothing""]";Snack
629;1617;4010614472;South Africa;19/07/2019 10:50;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""It's my habit / routine""]";"[""Nothing""]";Breakfast
630;1624;4996938094;South Africa;25/06/2019 15:13;At my home;"[""Alone""]";At my home;;"[""Relaxing / laying down""]";Someone else prepared it;"[""Tropical and exotic fruit""]";"[""I was hungry""]";"[""Meat""]";Treat
631;1627;27515921160;South Africa;25/02/2019 10:25;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette""]";"[""It's my favourite""]";"[""Juice / juice drinks""]";Lunch
632;1629;25259617068;South Africa;19/02/2019 02:58;At school / work;"[""Alone""]";At school / work;I had it at home / brought it from home;"[""Nothing"", ""Talking to someone""]";Someone else prepared it;"[""Rice with vegetables"", ""Chutney""]";"[""I was hungry""]";"[""Breads"", ""Curry / stew / soup""]";Breakfast
633;1637;727384805;South Africa;14/08/2019 10:53;At my home;"[""Alone""]";At my home;;"[""On my phone""]";I prepared it myself from scratch;"[""Tropical and exotic fruit""]";"[""I like the taste"", ""It's a healthy choice""]";"[""Nothing""]";Breakfast
634;1638;3790103362;South Africa;04/04/2019 19:32;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Playing with pets"", ""Relaxing / laying down""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""I wanted something sweet""]";"[""Eggs""]";Snack
635;1640;642098621;South Africa;27/04/2019 18:54;At my home;"[""My spouse/partner"", ""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""Other""]";"[""Nothing""]";Treat
636;1642;1508428284;South Africa;17/05/2019 06:38;At my home;"[""Alone""]";At my home;;"[""Listening to radio""]";I prepared it myself from scratch;"[""Sandwich/ bagel"", ""Chutney""]";"[""It was all I had""]";"[""Cereals / porridge""]";Breakfast
637;1644;7431519264;South Africa;25/07/2019 13:16;At my home;"[""Alone""]";At my home;;"[""Browsing social media"", ""Watching TV""]";I ordered take out from a restaurant / cafe;"[""Croissants/ sweet pastry""]";"[""I had a craving""]";"[""Sweet pastry / baked goods""]";Breakfast
638;1647;8387592914;South Africa;24/08/2019 04:37;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""It's my habit / routine""]";"[""Biscuits / cookies""]";Breakfast
639;1652;809152266;South Africa;05/02/2019 14:05;At someone else's home;"[""Alone""]";At someone else's home;I had it at home / brought it from home;"[""Nothing""]";It was premade / ready to eat;"[""Jam"", ""Honey / syrup"", ""Olives""]";"[""Quick"", ""Convenient""]";"[""Nothing""]";Breakfast
640;1654;3102081150;South Africa;08/02/2019 18:55;At my home;"[""Friends""]";At my home;I had it at home / brought it from home;"[""Watching TV"", ""Browsing social media""]";Someone else prepared it;"[""Biscuits""]";"[""I was hungry""]";"[""Coffee"", ""Confectionery""]";Treat
641;1655;1258000284;South Africa;04/04/2019 18:04;At my home;"[""Alone""]";At my home;Other;"[""Listening to music""]";;"[""Sandwich/ bagel""]";"[""I was hungry""]";"[""Nothing""]";Snack
642;1657;2701590050;South Africa;27/03/2019 15:29;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Chicken"", ""Plain rice""]";"[""It's a healthy choice"", ""I like the taste""]";"[""Nothing""]";Dinner
643;1658;2.33E+12;South Africa;25/07/2019 12:06;Cafe / restaurant / bar / hotel;"[""Friends""]";Cafe / restaurant / bar / hotel;;"[""Watching TV""]";Someone else prepared it;"[""Bread/ roll/ baguette"", ""Vegetable curry"", ""Condiment/ sauce""]";"[""I like the taste"", ""Energy boost""]";"[""Curry / stew / soup"", ""Dairy"", ""Vegetables""]";Dinner
644;1661;1403617548;South Africa;04/02/2019 03:05;At my home;"[""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Pork"", ""Pork"", ""Beans"", ""Mashed potatoes/ sweet potatoes""]";"[""It's what I wanted""]";"[""Nothing""]";Dinner
645;1662;5959344356;South Africa;18/05/2019 14:18;At my home;"[""Alone""]";At my home;;"[""Cooking""]";I prepared it myself from scratch;"[""Vegetable soup""]";"[""It's a healthy choice""]";"[""Rice / pasta / grains / pulses"", ""Dairy""]";Dinner
646;1663;3990149632;South Africa;01/06/2019 14:31;At my home;"[""My children""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice"", ""Chicken""]";"[""Kids/ family like it""]";"[""Nothing""]";Dinner
647;1664;2679070932;South Africa;24/01/2019 18:43;At my home;"[""My spouse/partner""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Stuffed vegetables""]";"[""I like the taste"", ""It's a healthy choice""]";"[""Pizza"", ""Meat""]";Dinner
